Timestamp,"Q1.) Which panel was your mentor a part of during the workshop?
For workshop -1 (Graphite workshop)
(Below are the questions for the workshop - 1)",Q2.) What did you think of the quality of the materials provided during the workshop?,"  Q3.) How well did the mentors explain the concepts and guide you during the workshop?
(Ans accordingly to your panel)
","Q4.) Were the workshop objectives clear, and did they meet your expectations?",Q5.) Did you feel the workshop duration was,"Q6.)On a scale of 1-5, how would you rate the overall experience of the workshop?",Q7.) What could be improved in future workshops?,"Q8.) Which panel was your mentor a part of during the workshop?
For workshop -2(Watercolor Workshop)",Q9.) What did you think of the quality of the materials provided during the workshop?,"  Q10.) How well did the mentors explain the concepts and guide you during the workshop?
(Ans accordingly to your panel)
","Q11.) Were the workshop objectives clear, and did they meet your expectations?",Q12.) Did you feel the workshop duration was,"Q13.)On a scale of 1-5, how would you rate the overall experience of the workshop?",Q14.) What could be improved in future workshops?,Q15.)How likely are you to attend future Artfreaks Club events?
9/7/2025 20:42:59,Panel-1,Excellent,Excellent,Yes,Just right,5,Everything Okay,Panel-2,Excellent,,Yes,Too long,4,Give refreshments,Very likely
9/8/2025 23:32:31,Panel-2,Good,Excellent,Yes,Too long,4,,Didn't come,,,,,,,Very likely
9/8/2025 23:32:37,Didn't come,,,,,,,Panel-1,Good,Good,Yes,Just right,4,,Very likely
9/8/2025 23:33:15,Panel-1,Excellent,Good,Yes,Too long,4,,Panel-1,Excellent,Good,Yes,Just right,4,,Very likely
9/8/2025 23:34:00,Panel-1,Excellent,Good,Yes,Just right,4,"All are good 
",Panel-1,Good,Good,Yes,Just right,5,"All are fine 
",Very likely
9/8/2025 23:35:50,Panel-2,Excellent,Excellent,Yes,Just right,5,,Panel-2,Excellent,Excellent,Yes,Just right,5,,Very likely
9/8/2025 23:36:02,Didn't come,,,,,,,Panel-1,Good,Fair,Maybe,Just right,4,"1.Explain the concept of how to use the colours well and what should be done and what should not be.
2. Time management bcz at the starting the workshop went so slow and later on they started rushing which led the end output to be less detailed .",Very likely
9/8/2025 23:36:04,Panel-1,Excellent,Good,Maybe,Just right,3,"Floor was not clean, the mats were not clean. Too much dirt all over. 
Cleanliness is a must for a good experience.",Panel-1,Good,Good,Maybe,Just right,3,,Very likely
9/8/2025 23:36:19,Panel-1,Excellent,Excellent,Yes,Just right,5,"The present facilities are very good
",Panel-1,Excellent,Excellent,Yes,Just right,5,Nothing ,Very likely
9/8/2025 23:44:43,Didn't come,,,,,,,Panel-1,Excellent,Excellent,Maybe,Just right,5,The tutor was not that audible.,Very likely
9/8/2025 23:45:31,Panel-2,Good,Good,Yes,Just right,5,,Panel-2,Good,Excellent,Yes,Just right,5,,Very likely
9/8/2025 23:49:02,Panel-1,Excellent,Good,Yes,Too long,4,"i found out some mentors are rude, maybe their way of accent (because their native language is not Hindi, and it sounds rude while hearing that pronunciation, nothing wrong with mentor, but the way their words, the way they were communicating was something feeling off e.g. tu isme ye color kr and tu tu tu) as well as they were loosing patience in some points. 
we don't know how to even hold the brush

but mentor didn't give some instructions before, and it made things something confused in the middle of the workshop. 


other than, it was fun and enjoyable. ",Didn't come,,,,,,,Very likely
9/8/2025 23:54:42,Panel-2,Excellent,Excellent,Yes,Just right,5,,Didn't come,,,,,,,Very likely
9/9/2025 0:01:17,Panel-2,Good,Good,Yes,Just right,4,,Panel-2,Good,Good,Yes,Just right,4,,Very likely
9/9/2025 5:43:35,Panel-1,Excellent,Good,Yes,Just right,5,,Panel-1,Excellent,Good,Yes,Just right,5,,Very likely
9/9/2025 9:15:27,Panel-1,Excellent,Excellent,Yes,Just right,5,,Didn't come,,,,,,,Very likely
9/9/2025 10:55:39,Panel-2,Good,Good,Yes,Just right,4,,Didn't come,,,,,,,Very likely
9/9/2025 13:27:24,Panel-2,Fair,Good,No,Too short,3,Provide us more time.,Panel-2,Fair,Fair,No,Too short,4,More interaction with students.,Very likely
9/13/2025 10:26:44,Didn't come,,,,,,,Panel-2,Good,Good,Yes,Too short,4,Two explanations at a time make it difficult to understand what is being said by the panel. ,Very likely
9/14/2025 5:48:08,Panel-1,Excellent,Good,Yes,Just right,5,,Panel-2,Excellent,Excellent,Yes,Just right,5,,Very likely
